,Unnamed: 0,Crop,Sowing Time,Region,Min Temp,Max Temp,Soil pH,Soil Type,Min Rainfall,Max Rainfall,Rainfall,Temperature
0,0,bajra,june,andhra pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
1,1,bajra,july,andhra pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
2,2,bajra,january,andhra pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
3,3,bajra,february,andhra pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
4,4,bajra,march,andhra pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
5,5,bajra,june,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
6,6,bajra,july,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
7,7,bajra,february,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
8,8,bajra,january,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
9,9,bajra,february,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
10,10,bajra,march,gujrat,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
11,11,bajra,june,haryana,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
12,12,bajra,july,haryana,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
13,13,bajra,july,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
14,14,bajra,august,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
15,15,bajra,september,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
16,16,bajra,january,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
17,17,bajra,february,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
18,18,bajra,march,karnataka,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
19,19,bajra,june,madhya pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
20,20,bajra,july,madhya pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
21,21,bajra,june,maharashtra,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
22,22,bajra,july,maharashtra,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
23,23,bajra,january,maharashtra,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
24,24,bajra,february,maharashtra,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
25,25,bajra,march,maharashtra,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
26,26,bajra,june,odisha,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
27,27,bajra,july,odisha,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
28,28,bajra,june,rajasthan,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
29,29,bajra,july,rajasthan,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
30,30,bajra,june,uttar pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
31,31,bajra,july,uttar pradesh,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
32,32,bajra,october,tamil nadu,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
33,33,bajra,january,tamil nadu,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
34,34,bajra,february,tamil nadu,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
35,35,bajra,march,tamil nadu,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
36,36,bajra,january,punjab,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
37,37,bajra,february,punjab,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
38,38,bajra,june,punjab,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
39,39,bajra,july,punjab,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
40,40,bajra,january,delhi,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
41,41,bajra,february,delhi,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
42,42,bajra,june,delhi,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
43,43,bajra,july,delhi,20,31,6.0,black cotton soil,25.0,60.0,42.5,25.5
44,44,barley,november,rajasthan,12,32,7.5,loamy soil,25.0,55.0,40.0,22.0
45,45,barley,december,rajasthan,12,32,7.5,loamy soil,25.0,55.0,40.0,22.0
46,46,barley,september,uttar pradesh,12,32,7.5,loamy soil,25.0,55.0,40.0,22.0
